ACG 2021, Principles of Financial Accounting
PHY 2048L,General Physics I Laboratory
PHY 2048L,General Physics I Laboratory
PHY 2048L,General Physics I Laboratory
PHY 2048L,General Physics I Laboratory
PHY 2048L,General Physics I Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2049L,General Physics II Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory Note: Due to the late start time bringing (or ordering) food is permitted. Plates and napkins are required.
PHY 2053L,General Physics I Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 4910,Undergraduate Research Contract and then permit required. Contact physicsadvise@usf.edu
PHY 4910,Undergraduate Research Contract and then permit required. Contact physicsadvise@usf.edu
PHY 4910,Undergraduate Research Contract and then permit required. Contact physicsadvise@usf.edu
PHY 4910,Undergraduate Research Contract and then permit required.Contact physicsadvise@usf.edu
PHY 4910,Undergraduate Research Contract and then permit required. Contact physicsadvise@usf.edu
PHY 4930,Undergraduate Seminar This is a 1 credit hour elective for Physics Majors. Other students interested in Physics research are welcome.
PHY 6909,Independent Study Permit required. Contact jfischer1@usf.edu
PHY 6909,Independent Study Permit required. Contact jfischer1@usf.edu
PHY 6911,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 6911,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 6938,Statistical Mechanics II Permit is required contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHY 7910,Directed Research Permit required. Contact jfischer1@usf.edu
PHZ 2102,Problems in General Physics I Extra help for students taking PHY 2048
PHZ 2102,Problems in General Physics I Extra help for students taking PHY 2048-981 TR @ 6:30PM
PHZ 2102,Problems in General Physics I Extra help for students taking PHY 2048-003 MW 3:30-4:45
PHZ 2103,Problems in General Physics II Extra help session for students taking PHY 2049
PHZ 2103,Problems in General Physics II Extra help for students taking PHY 2049-003 TR 9:30-10:45
PHZ 2104,Problems in Algebra Physics I Extra help for students taking PHY 2053 lectures. .
PHZ 2105,Problems in Algebra Physics II Extra help class for students in PHY 2054 lectures
IDS 4942,Community Internship  More Information. Permit Required S-U Only
IDS 6940,Cooperative Internship
INP 7937,Grad Sem Indust-Org Careers
INP 7937,Grad Sem Network Analysis
PSY 4913,Directed Study
PSY 4913,Directed Study
PSY 4913,Directed Study
PSY 4913,Directed Study
PSY 4913,Directed Study
PSY 4913,Directed Study
PSY 4913,Directed Study
PSY 4913,Directed Study
PSY 4913,Directed Study
PSY 4970,Honors Thesis Must be accepted into PSY Honors Program
PSY 4970,Honors Thesis Must be accepted into PSY Honors Program
PSY 4970,Honors Thesis Must be accepted into PSY Honors Program
PSY 4970,Honors Thesis Must be accepted into PSY Honors Program
PSY 4970,Honors Thesis Must be accepted into PSY Honors Program
PSY 4970,Honors Thesis Must be accepted into PSY Honors Program
PSY 6065,Intro to Advanced Psychology Majors only.
PSY 6065,Intro to Advanced Psychology Majors only
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6946,Pract/Intern Clinical Psych
PSY 6946,Clinical Supervision
PSY 6946,Clinical Supervision
PSY 6946,Clinical Supervision
PSY 6946,Clinical Supervision
PSY 6946,Clinical Supervision
PSY 6946,Clinical Supervision
PSY 6946,Clinical Supervision
PSY 6946,Clinical Supervision
PSY 6947,Grad Instruction Methods
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
PSY 7918,Directed Research
EVR 2001L,Environmental Science Lab
EVR 2001L,Environmental Science Lab
EVR 2001L,Environmental Science Lab
EVR 2001L,Environmental Science Lab
EVR 2001L,Environmental Science Lab
EVR 6908,ESP Independent Study
EVR 6908,ESP Independent Study
EVR 6908,ESP Independent Study
EVR 6908,ESP Independent Study
EVR 6930,Colloq Environ Sci & Policy Crosslisted w/ GLY 4920.001 CRN# 92041.
GEO 6908,Independent Study
GEO 6908,Independent Study
GEO 6908,Independent Study
GEO 6908,Independent Study
GEO 6918,Directed Research
GEO 6918,Directed Research
GEO 6918,Directed Research
GLY 2000L,Essentials Geology Laboratory
GLY 2000L,Essentials Geology Laboratory
GLY 4920,Geology Colloquium Crosslisted w/ EVR 6930.001 CRN# 92035.
GLY 6905,Independent Study
GLY 6905,Independent Study
GLY 7912,Directed Research
GLY 7912,Directed Research
GLY 7912,Directed Research
GLY 7912,Directed Research
GLY 7912,Directed Research
GLY 7912,Directed Research
GLY 7912,Directed Research
GLY 7912,Directed Research
ISS 4940,ISS Internship Permit from Instructor required.
SYA 6909,Independent Study
SYA 6909,Independent Study
SYA 6909,Independent Study
SYA 6909,Independent Study
SYA 7988,Dissertation Proposal
SYA 7988,Dissertation Proposal
SYA 7988,Dissertation Proposal
SYA 7988,Dissertation Proposal
IDS 4942,Field Work Legislative Internship Program (Permit Required - Email cas-spa@usf.edu w/your UID#) S/U Only
POS 4910,Individual Research The Washington Center (Permit Required - Contact Robyn at odegardr@usf.edu)
LIN 7911,Directed Research - LALS
LIN 7911,Directed Research - LALS
LIN 7980,Dissertation â€“ LALS
LIN 7980,Dissertation â€“ LALS
LIN 7980,Dissertation â€“ LALS
LIN 7980,Dissertation â€“ LALS
IDS 4914,Adv Undergrad Research Exp Contact mefoster@usf.edu for permit
MHS 4906,Directed Study
MHS 6906,Ind Study:Applied Beh Analysis
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS For permit email trinaspencer@usf.edu
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6940,Practicum:Applied Beh Analysis 1st year ABA Students
CCJ 4910,Directed Research Instructor permission required for permit
CCJ 6937,Pro Seminar in Criminology
CCJ 7910,Advanced Research
CCJ 7910,Advanced Research
CCJ 7910,Advanced Research
CCJ 7910,Advanced Research
CCJ 7910,Advanced Research
CCJ 7910,Advanced Research
CCJ 7910,Advanced Research
MHS 7720,Proseminar in BCS Pro Seminar 2
SPA 5506,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 5506,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 5506,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 5506,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 5506,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 6505,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 6505,Practicum: AuD Clinic II Permit required: Contact: jenarossman@usf.edu
SPA 6505,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 6505,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 6505,Practicum: AuD Clinic II Permit Required. Contact: jenarossman@usf.edu
SPA 6906,Independent Study Permit Required. Contact kjwasson@usf.edu
SPA 6910,Directed Research Permit Required. Contact: jenarossman@usf.edu
SPA 6910,Directed Research Permit Required: Contact: jenarossman@usf.edu
SPA 6910,Directed Research Permit Required. Contact: jenarossman@usf.edu
SPA 6910,Directed Research Permit Required. Contact: jenarossman@usf.edu
SPA 6910,Directed Research Permit Required. Contact: jenarossman@usf.edu
SPA 6910,Directed Research Permit Required. Contact: jenarossman@usf.edu
SPA 6910,Directed Research
SPA 6910,Directed Research
SPA 6910,Directed Research Permit Required. Contact: jenarossman@usf.edu
SPA 6910,Directed Research Permit Required. Contact: jenarossman@usf.edu
SPA 7834,Audiology Doctoral Project Sem Permit Required. Contact: jenarossman@usf.edu
GEY 7911,Dir Research in Aging Studies
GEY 7911,Dir Research in Aging Studies
GEY 7911,Dir Research in Aging Studies
GEY 7911,Dir Research in Aging Studies
MHS 4931,Beh Health Crisis Practicum  In person course meetings Aug 30th; Sept 20th; Oct 25; Nov 8th 22nd; and Dec 6th
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
MHS 6915,Directed Research in Bhv & SS
SOW 6534,Field Instruction I
SOW 6534,Field Instruction I
SOW 6534,Field Instruction I
FIN 4905,Independent Study FIN majors only.  Permit required and contact: Here 1 - 3 Yes Open A 1 0 1 0  TBA   TBA TBA Staff Tampa CL
FIN 6906,Independent Study Graduate FIN majors only.  Permit required and contact: Here 1 - 12 Yes Open A 10 0 10 0  TBA   TBA TBA Staff Tampa CL
FIN 6906,Independent Study Graduate FIN majors only.  Permit required and contact: Here 1 - 12 Yes Open A 5 0 5 0  TBA   TBA TBA Staff Tampa CL
FIN 6906,Independent Study Graduate FIN majors only.  Permit required and contact: Here 1 - 12 Yes Open A 1 0 1 0  TBA   TBA TBA Staff Tampa CL
FIN 6906,Independent Study Graduate FIN majors only.  Permit required and contact. Here 1 - 12 Yes Open A 1 0 1 0  TBA   TBA TBA Staff Tampa CL
FIN 6906,Independent Study Graduate FIN majors only.  Permit required and contact: Here 1 - 12 Yes Open A 1 0 1 0  TBA   TBA TBA Staff Tampa CL
FIN 6906,Independent Study Graduate FIN majors only.  Permit required and contact: Here 1 - 12 Yes Open A 1 0 1 0  TBA   TBA TBA Staff Tampa CL
FIN 6915,Directed Research Graduate FIN majors only.  Permit required and contact: Here 1 - 12 Yes Open A 5 0 5 0  TBA   TBA TBA Staff Tampa CL
GEB 2098,Bus Honors Professional Devl I Business Honors Students only. Cross-listed w/ GEB 2098-020. Permit required and contact: HERE 1 Yes Open A 25 0 25 0 M 05:00pm-05:50pm   BSN 111 A. Bailey Tampa CL
GEB 2935,Selected Topics in Business BBC and ZAP students only
GEB 2935,Selected Topics in Business BBC and ZAP students only
GEB 2935,Selected Topics in Business BBC and ZAP students only
IDS 6940,Cooperative Internship
HFT 4937,Hospitality Speaker Series
ISM 4950,Independent Research BAIS majors only.  Permit required.
ISM 6905,Independent Study MS BAIS majors only. S-U only. Research projects.
ISM 6905,Independent Study FL BLUE MBA.  Permit required and contact: Karen Carlin 1 - 6 Yes Open A 5 0 5 0  TBA   TBA TBA Staff Tampa CL
ISM 6945,Bus Analytics & Info Sys Int MS BAIS majors only.  CPT. Internship contract. 16wks. Permit required and contact: HERE 1 Yes Open A 70 0 70 0  TBA   TBA TBA A. Bhattacherjee Tampa CL
ISM 6945,Bus Analytics & Info Sys Int MS BAIS majors only.  CPT. Internship contract. Meets: 14wks. 9/9-12/12. Permit required and contact: HERE 1 Yes Open A 40 0 40 0  TBA   TBA TBA A. Bhattacherjee Tampa CL
ISM 6945,Bus Analytics & Info Sys Int MS BAIS majors only.  CPT. Internship contract. 12wks.  Meets: 8/26-11/15.  Permit required and contact: HERE 1 Yes Open A 40 0 40 0  TBA   TBA TBA A. Bhattacherjee Tampa CL
ISM 6945,Bus Analytics & Info Sys Int MS BAIS majors only. CPT. Internship contract. 10wks. 10/7-12/12. Permit required and contact: HERE 1 Yes Open A 40 0 40 0  TBA   TBA TBA A. Bhattacherjee Tampa CL
ISM 6945,Bus Analytics & Info Sys Int MS BAIS majors only.  CPT. Internship contract. Meets: 10/14-12/12. Permit required and contact: HERE 1 Yes Open A 40 0 40 0  TBA   TBA TBA A. Bhattacherjee Tampa CL
ISM 7905,Independent Study BAIS doctoral majors only.  Permit required and contact: Carrie Fischer 1 - 6 Yes Open A 5 0 5 0  TBA   TBA TBA S. Mithas Tampa CL
ISM 7931,Directed Research BAIS doctoral majors only.  Permit required and contact: Carrie Fischer 1 - 12 Yes Open A 3 0 3 0  TBA   TBA TBA S. Mithas Tampa CL
ISM 7931,Directed Research BAIS doctoral majors only.  Permit required and contact: Carrie Fischer 1 - 12 Yes Open A 2 0 2 0  TBA   TBA TBA D. Yin Tampa CL
ISM 7931,Directed Research BAIS doctoral majors only.  Permit required and contact: Carrie Fischer 1 - 12 Yes Open A 1 0 1 0  TBA   TBA TBA Staff Tampa CL
MAN 4905,Independent Study MAN majors only.  Permit required.
MAN 6905,Independent Study Graduate MAN majors only.  Permit required and contact: Stacee Bender 1 - 12 Yes Open A 5 0 5 0  TBA   TBA TBA Staff Tampa CL
Mar-03,Independent Research MKT majors only.  Permit required.
Mar-05,Independent Study MKT majors only.  Permit required.
Mar-07,Independent Study Graduate MKT majors only.  Permit required.
Mar-10,Independent Study in Marketing MKT doctoral majors only. Independent study contract required. Permit only.
Mar-10,Independent Study in Marketing MKT doctoral majors only. Independent study contract required. Permit required.
ECH 4905,Independent Study
ECH 4905,Independent Study
ECH 4905,Independent Study
ECH 4931,Peer Leading in Chemical Eng
ECH 4931,Adv Undergraduate Research Exp
ECH 4931,Adv Undergraduate Research Exp
ECH 4931,Adv Undergraduate Research Exp
ECH 4936,Undergraduate Seminar Cross-listed with ECH 6931.001
ECH 4944,Industry Internship
ECH 5945,ChE Industry Internship
ECH 6906,Directed Research
ECH 6906,Directed Research
ECH 6906,Directed Research
ECH 6906,Directed Research
ECH 6906,Directed Research
ECH 6906,Directed Research
ECH 6907,Independent Study
ECH 6907,Independent Study
ECH 6907,Independent Study
ECH 6931,ST: Graduate Seminar Cross-listed with ECH 4936.
ECH 7915,Directed Research
ECH 7915,Directed Research
ECH 7915,Directed Research
ECH 7915,Directed Research
ECH 7915,Directed Research
ECH 7915,Directed Research
EEL 3115L,Laboratory I
EEL 3115L,Laboratory I
EEL 3115L,Laboratory I
EEL 3116L,Laboratory II
EEL 3116L,Laboratory II
EEL 3163C,Computer Tool Lab
EEL 3705L,Fund of Digital Circuits Lab
EEL 3705L,Fund of Digital Circuits Lab
EEL 3705L,Fund of Digital Circuits Lab
EEL 4206L,Power Lab
EEL 4206L,Power Lab
EEL 4206L,Power Lab
EEL 4206L,Power Lab
EEL 4657L,Linear Controls Laboratory
EEL 4657L,Linear Controls Laboratory
EEL 4743L,Microprocessor Laboratory
EEL 4905,Independent Study
EEL 4905,Independent Study
EEL 6908,Independent Study
EEL 6908,Independent Study
EEL 6908,Independent Study
EEL 6908,Independent Study
EEL 6908,Independent Study
EEL 6936,EE Graduate Seminar
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EEL 7910,Directed Research
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGS 2070,Prof Form Engineers 1
EGS 2070,Prof Form Engineers 1
EGS 3071,Prof Form Engineers 2
EGS 3071,Prof Form Engineers 2
EGS 3072,Prof Form Engineers 3
IDS 3947,Internship
EML 4905,Independent Study
EML 4905,Independent Study
EML 4905,Independent Study
EML 4905,Independent Study
EML 4905,Independent Study
EML 4905,Independent Study
EML 4905,Independent Study
EML 4905,Independent Study
EML 4930,Adv Undergraduate Research Exp
EML 4930,Adv Undergraduate Research Exp
EML 4930,Adv Undergraduate Research Exp
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6907,Independent Study
EML 6930,Graduate Internship
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
EML 7915,Directed Research
IDS 3947,Internship
EGN 5940,Engineering Internship
EIN 4940,Industry Internship
ESI 6906,Independent Study
ESI 6906,Independent Study
ESI 6906,Independent Study For MSDI program students only.
ESI 7911,Directed Research
ESI 7911,Directed Research
ESI 7911,Directed Research
ESI 7911,Directed Research
ESI 7911,Directed Research
ESI 7911,Directed Research
CEG 4011L,Geotechnical Engineering Lab
CEG 4011L,Geotechnical Engineering Lab
CEG 4011L,Geotechnical Engineering Lab
CES 6935,Graduate STR/MTL Seminar Class held in ENC 3408.
CGN 4905,Independent Study
CGN 4905,Independent Study
CGN 4933,Adv Undergraduate Research Exp
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 6906,Independent Study
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CGN 7915,Directed Research
CWR 4202L,Civil Eng Hydraulics Lab
EGN 3331L,Mechanics of Materials Lab
EGN 3331L,Mechanics of Materials Lab
EGN 3331L,Mechanics of Materials Lab
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
ENV 4004L,Environmental Engineering Lab Meets with other sections on Monday.
ENV 4004L,Environmental Engineering Lab Meets with other sections on Monday.
ENV 4004L,Environmental Engineering Lab Meets with other sections on Monday.
ENV 4004L,Environmental Engineering Lab Meets with other sections on Monday.
TTE 6930,Grad Transportation Seminar
BME 4914,BME Research Experience
BME 4914,BME Research Experience
BME 4914,BME Research Experience
BME 4914,BME Research Experience
BME 4914,BME Research Experience
BME 5910,Dir Res in Bioengineering
BME 5910,Dir Res in Bioengineering
BME 5910,Dir Res in Bioengineering
BME 5910,Dir Res in Bioengineering
BME 5910,Dir Res in Bioengineering
BME 5910,Dir Res in Bioengineering
BME 5910,Dir Res in Bioengineering
BME 6905,Independent Study
BME 6920,BME Seminar
BME 6944,Industry Internship
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
BME 7915,Dir Res Biomedical Engineering
EGN 4905,Independent Study
EGN 4905,Independent Study
EGN 4905,Independent Study Course dates: 9/25 - 12/1/2023.  To register visit https://www.usf.edu/registrar/register/altcalendar.aspx
EGN 4930,CREST CybSec Research Seminar Open to Engineering and Business majors.
EGN 4930,Res Opportunities in AgeTech Cross-listed with CIS 4930/CIS 6930. Open to all undergraduate majors.  CSE majors please take CIS 4930.
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
EGN 5940,Engineering Internship
CDA 3201L,Computer Logic Design Lab
CDA 3201L,Computer Logic Design Lab
CDA 3201L,Computer Logic Design Lab
CDA 3201L,Computer Logic Design Lab
CDA 3201L,Computer Logic Design Lab
CDA 3201L,Computer Logic Design Lab
CDA 4205L,Computer Architecture Lab
CDA 4205L,Computer Architecture Lab
CDA 4205L,Computer Architecture Lab
CDA 4205L,Computer Architecture Lab
CDA 4205L,Computer Architecture Lab
CDA 4213L,CMOS-VLSI Design Lab
CDA 4213L,CMOS-VLSI Design Lab
CIS 4900,Ind Study in Computer Science
CIS 4900,Ind Study in Computer Science
CIS 4900,Ind Study in Computer Science
CIS 4900,Ind Study in Computer Science
CIS 4900,Ind Study in Computer Science
CIS 4900,Ind Study in Computer Science
CIS 4915,Spvsd Research in Computer Sci
CIS 4915,Spvsd Research in Computer Sci
CIS 4915,Spvsd Research in Computer Sci
CIS 4915,Spvsd Research in Computer Sci
CIS 4915,Spvsd Research in Computer Sci
CIS 4915,Spvsd Research in Computer Sci
CIS 4915,Spvsd Research in Computer Sci
CIS 4915,Spvsd Research in Computer Sci
CIS 4940,Industry Internship
CIS 4940,Industry Internship
CIS 4940,Industry Internship
CIS 4940,Industry Internship
CIS 4940,Industry Internship
CIS 4940,Industry Internship
CIS 4940,Industry Internship
CIS 4940,Industry Internship
CIS 4947,Industry Internship for IT
CIS 4947,Industry Internship for IT
CIS 4947,Industry Internship for IT
CIS 6900,Independent Study
CIS 6900,Independent Study
CIS 6900,Independent Study
CIS 6900,Independent Study
CIS 6930,Seminar in AI
CIS 6930,Res Opportunities in AgeTech Cross-listed with EGN 4930 section 035.
CIS 6930,CREST CybSec Research Seminar Open to Engineering and Business majors.
CIS 6946,Internships/Practicums
CIS 6946,Internships/Practicums
CIS 6946,Internships/Practicums
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CIS 7910,Directed Research
CNT 4104L,Computer Networks Lab for IT Room location is NEC 300.
CNT 4104L,Computer Networks Lab for IT Room location is NEC 300.
CNT 4104L,Computer Networks Lab for IT Room location is NEC 300.
CNT 4104L,Computer Networks Lab for IT Room location is NEC 300.
EDE 7910,Dir. Research: Elem. Educ.
EDE 7910,Dir. Research: Elem. Educ.
EEC 7910,Directed Research Early Child
EEC 7910,Directed Research Early Child
EEC 7910,Directed Research Early Child
LAE 6906,Ind Study: English Education
LAE 6947,Internshp Secondary Ed for Eng This course requires fingerprinting clearance. Contact Dr. Jen Jacobs at jjacobs8@usf.edu. Placement letters will be emailed by the Coordinator of Secondary Internships. Mandatory course meetings will be held virtually  5 Wednesdays from 6:00-7:30. Dates: 8/16/23 9/6/23 9/27/23 10/18/23 11/1/23. Internship orientation date and time: Monday 8/7 from 10-2. Contact: Dr. Laura Sabella at lsabella@usf.edu
LAE 7910,Dir Rsch Eng Ed
LAE 7910,Dir Rsch Eng Ed
MAE 3941,Pract I: Middle School Math Ed
MAE 4909,Directed Study: Math Education
MAE 4941,Intern I: Mid School Math Ed This course will require attendance in schools along with synchronous online meetings via Teams with Ms. Ortiz. See syllabus for more information.
MAE 6906,Ind Study Mathematics Ed
